Item Number,Date,Performance Date,Transaction Type,Location,Begin Loc Bal,Begin Balance,Qty Required,Quantity Change,Qty Short,Unit of Measure,Last Activity Date,Order,Sales/Job,Ship Type,Address,Remarks,Debit Account,Credit Account,Material,Labor,Burden,Price,Transaction Number,Amount,Debit Cost Ctr,Credit Cost Center,ID,Subcontract,GL Date,Loc Qty Change,User ID,Lot/Serial,Effective Date,Product Line,Salesperson 1,Salesperson 2,Credit Project,Debit Project,Line,Ufld1,Ufld2,Currency,Exchange Rate,Rev,Time,Overhead,Site,Inventory Status,Grade,Expire Date,Assay Percentage,Reference ID,tr__chr01,tr__chr02,tr__chr03,tr__chr04,tr__chr05,tr__chr06,tr__chr07,tr__chr08,tr__chr09,tr__chr10,tr__chr11,tr__chr12,tr__chr13,tr__chr14,tr__chr15,tr__dte01,tr__dte02,tr__dte03,tr__dte04,tr__dte05,tr__dec01,tr__dec02,tr__dec03,tr__dec04,tr__dec05,tr__log01,tr__log02,Reference,Message Number,Program,Revision,Reference Site,Reason,Supplier Lot,Supplier Production Date,Day Code,Service Part,Salesperson,Salesperson,Salesperson,Salesperson,FSM Type,tr_upd_isb,Auto Installed,Work Code,Covered Amount,Charge Code,Batch,Service Category,Contract,Contract Type,Service Area,System Product Line,tr_svc_type,tr_ca_opn_date,Price,Engineer Code,Operation,End User,Inventory Movement Code,Ship Date,Shipper Number,Exch Rate 2,Rate Type,Sequence,Promise Date,Comment,Domain,oid_tr_hist,Consignment Qty Adjusted,Document,oid_lgd_mstr,Days Missed
616031200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,150.0,"12,854.0",0.0,15.0,0.0,EA,13/1/2020,,,,,,,,54.58754,2.86885,0.00,57.45639,268727638,861.85,,,18322715,0.00,,15.0,AJS4,,14/1/2020,FG,,,,,0,,,THB,1.0,,824,0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140736186108.0009,0.0,,0.0,-17
625512600B,14/1/2020,31/1/2020,RCT-WO,QFG_SB,110.0,"1,230.0",0.0,80.0,0.0,EA,13/1/2020,,,,,,,,127.1457,14.48092,0.00,141.62662,268730794,"11,330.13",,,18424309,0.00,,80.0,auk2,,14/1/2020,FG,,,,,0,,,THB,1.0,,"4,370",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140736543105.0009,0.0,,0.0,-17
617514200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,90.0,"1,110.0",0.0,30.0,0.0,EA,13/1/2020,,,,,,,,69.19336,8.32381,0.00,77.51717,268732456,"2,325.52",,,18323066,0.00,,30.0,ANS6,,14/1/2020,FG,,,,,0,,,THB,1.0,,"5,065",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140736571750.0009,0.0,,0.0,-17
620100100F,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,30.0,492.0,0.0,40.0,0.0,EA,13/1/2020,,,,,,,,154.59041,8.06864,0.00,162.65906,268734307,"6,506.36",,,18337893,0.00,,40.0,AUM1,,14/1/2020,FG,,,,,0,,,THB,1.0,,"5,753",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140736617339.0009,0.0,,0.0,-17
617514200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,120.0,"1,140.0",0.0,30.0,0.0,EA,14/1/2020,,,,,,,,69.19336,8.32381,0.00,77.51717,268734582,"2,325.52",,,18323066,0.00,,30.0,ANS6,,14/1/2020,FG,,,,,0,,,THB,1.0,,"5,875",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140736624999.0009,0.0,,0.0,-17
620100100F,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,70.0,532.0,0.0,10.0,0.0,EA,14/1/2020,,,,,,,,154.59041,8.06864,0.00,162.65906,268734812,"1,626.59",,,18337893,0.00,,10.0,AUM1,,14/1/2020,FG,,,,,0,,,THB,1.0,,"5,983",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140736672389.0009,0.0,,0.0,-17
616031200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,0.0,"12,869.0",0.0,75.0,0.0,EA,14/1/2020,,,,,,,,54.58754,2.86885,0.00,57.45639,268736203,"4,309.23",,,18322715,0.00,,75.0,AJS4,,14/1/2020,FG,,,,,0,,,THB,1.0,,"6,542",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140736927509.0009,0.0,,0.0,-17
625512600B,14/1/2020,31/1/2020,RCT-WO,QFG_SB,190.0,"1,310.0",0.0,90.0,0.0,EA,14/1/2020,,,,,,,,127.1457,14.48092,0.00,141.62662,268737326,"12,746.40",,,18424309,0.00,,90.0,auk2,,14/1/2020,FG,,,,,0,,,THB,1.0,,"6,969",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737120405.0009,0.0,,0.0,-17
620100100F,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,30.0,542.0,0.0,50.0,0.0,EA,14/1/2020,,,,,,,,154.59041,8.06864,0.00,162.65906,268737593,"8,132.95",,,18337893,0.00,,50.0,AUM1,,14/1/2020,FG,,,,,0,,,THB,1.0,,"7,120",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737123830.0009,0.0,,0.0,-17
621975200D,14/1/2020,31/1/2020,RCT-WO,QFG_SB,12.0,"1,194.0",0.0,54.0,0.0,EA,13/1/2020,,,,,,,,317.23907,16.06044,0.00,333.29951,268738074,"17,998.17",,,18638271,0.00,,54.0,akt6,,14/1/2020,FG,,,,,0,,,THB,1.0,,"7,270",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737129285.0009,0.0,,0.0,-17
623367200DC2,14/1/2020,31/1/2020,RCT-WO,QFG_SB,272.0,752.0,0.0,72.0,0.0,EA,13/1/2020,,,,,,,,320.21921,22.21595,0.00,342.43516,268738261,"24,655.33",,,18505403,0.00,,72.0,awk4,,14/1/2020,FG,,,,,0,,,THB,1.0,,"7,315",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737131180.0009,0.0,,0.0,-17
616031200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,0.0,"12,944.0",0.0,75.0,0.0,EA,14/1/2020,,,,,,,,54.58754,2.86885,0.00,57.45639,268741383,"4,309.23",,,18322715,0.00,,75.0,AJS4,,14/1/2020,FG,,,,,0,,,THB,1.0,,"8,605",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737177922.0009,0.0,,0.0,-17
620100100F,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,30.0,592.0,0.0,50.0,0.0,EA,14/1/2020,,,,,,,,154.59041,8.06864,0.00,162.65906,268741407,"8,132.95",,,18337893,0.00,,50.0,AUM1,,14/1/2020,FG,,,,,0,,,THB,1.0,,"8,607",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737178227.0009,0.0,,0.0,-17
621737700E,14/1/2020,31/1/2020,RCT-WO,QFG_SB,0.0,"1,328.0",0.0,66.0,0.0,EA,13/1/2020,,,,,,,,138.96941,13.76972,0.00,152.73912,268742077,"10,080.78",,,18429749,0.00,,66.0,ast7,,14/1/2020,FG,,,,,0,,,THB,1.0,,"8,821",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737186344.0009,0.0,,0.0,-17
617514200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,30.0,"1,170.0",0.0,90.0,0.0,EA,14/1/2020,,,,,,,,69.19336,8.32381,0.00,77.51717,268742349,"6,976.55",,,18323066,0.00,,90.0,ANS6,,14/1/2020,FG,,,,,0,,,THB,1.0,,"8,917",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737190042.0009,0.0,,0.0,-17
621737700E,14/1/2020,31/1/2020,RCT-WO,QFG_SB,66.0,"1,394.0",0.0,18.0,0.0,EA,14/1/2020,,,,,,,,138.96941,13.76972,0.00,152.73912,268743644,"2,749.30",,,18429749,0.00,,18.0,ast7,,14/1/2020,FG,,,,,0,,,THB,1.0,,"9,411",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737255993.0009,0.0,,0.0,-17
621721100A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,0.0,"1,134.0",0.0,120.0,0.0,EA,13/1/2020,,,,,,,,38.26254,5.42866,0.00,43.6912,268744056,"5,242.94",,,18337704,0.00,,120.0,aps4,,14/1/2020,FG,,,,,0,,,THB,1.0,,"9,598",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737261618.0009,0.0,,0.0,-17
621975200D,14/1/2020,31/1/2020,RCT-WO,QFG_SB,0.0,"1,248.0",0.0,48.0,0.0,EA,14/1/2020,,,,,,,,317.23907,16.06044,0.00,333.29951,268744161,"15,998.38",,,18638271,0.00,,48.0,akt6,,14/1/2020,FG,,,,,0,,,THB,1.0,,"9,616",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737262784.0009,0.0,,0.0,-17
620100100F,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,30.0,642.0,0.0,50.0,0.0,EA,14/1/2020,,,,,,,,154.59041,8.06864,0.00,162.65906,268745389,"8,132.95",,,18337893,0.00,,50.0,AUM1,,14/1/2020,FG,,,,,0,,,THB,1.0,,"9,994",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737277872.0009,0.0,,0.0,-17
616031200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,0.0,"13,019.0",0.0,60.0,0.0,EA,14/1/2020,,,,,,,,54.58754,2.86885,0.00,57.45639,268746586,"3,447.38",,,18322715,0.00,,60.0,AJS4,,14/1/2020,FG,,,,,0,,,THB,1.0,,"10,474",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737292975.0009,0.0,,0.0,-17
621721100A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,120.0,"1,254.0",0.0,60.0,0.0,EA,14/1/2020,,,,,,,,38.26254,5.42866,0.00,43.6912,268747273,"2,621.47",,,18337704,0.00,,60.0,aps4,,14/1/2020,FG,,,,,0,,,THB,1.0,,"10,711",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737301011.0009,0.0,,0.0,-17
621737700E,14/1/2020,31/1/2020,RCT-WO,QFG_SB,84.0,"1,412.0",0.0,66.0,0.0,EA,14/1/2020,,,,,,,,138.96941,13.76972,0.00,152.73912,268747469,"10,080.78",,,18429749,0.00,,66.0,ast7,,14/1/2020,FG,,,,,0,,,THB,1.0,,"10,754",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737303190.0009,0.0,,0.0,-17
617514200A,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,0.0,"1,260.0",0.0,60.0,0.0,EA,14/1/2020,,,,,,,,69.19336,8.32381,0.00,77.51717,268747898,"4,651.03",,,18323066,0.00,,60.0,ANS6,,14/1/2020,FG,,,,,0,,,THB,1.0,,"10,836",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737308505.0009,0.0,,0.0,-17
621738600C,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,0.0,"1,870.0",0.0,50.0,0.0,EA,13/1/2020,,,,,,,,33.55789,6.23487,0.00,39.79276,268748033,"1,989.64",,,18322938,0.00,,50.0,akp11,,14/1/2020,FG,,,,,0,,,THB,1.0,,"10,907",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737310041.0009,0.0,,0.0,-17
620100100F,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,30.0,692.0,0.0,50.0,0.0,EA,14/1/2020,,,,,,,,154.59041,8.06864,0.00,162.65906,268748874,"8,132.95",,,18337893,0.00,,50.0,AUM1,,14/1/2020,FG,,,,,0,,,THB,1.0,,"12,012",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737320996.0009,0.0,,0.0,-17
621738600C,14/1/2020,31/1/2020,RCT-WO,QFG_SB10,50.0,"1,920.0",0.0,40.0,0.0,EA,14/1/2020,,,,,,,,33.55789,6.23487,0.00,39.79276,268749672,"1,591.71",,,18322938,0.00,,40.0,akp11,,14/1/2020,FG,,,,,0,,,THB,1.0,,"12,384",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737331566.0009,0.0,,0.0,-17
621737700E,14/1/2020,31/1/2020,RCT-WO,QFG_SB,150.0,"1,478.0",0.0,36.0,0.0,EA,14/1/2020,,,,,,,,138.96941,13.76972,0.00,152.73912,268749725,"5,498.61",,,18429749,0.00,,36.0,ast7,,14/1/2020,FG,,,,,0,,,THB,1.0,,"12,403",0.00,ATH_SB,Q_INSFG,,,0.00%,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,no,no,,0,xxqrebfl.p,0,ATH_SB,,,,,,,,,,,no,no,,0.00,,,,,,,,,,0.00,,,,,,,1.0,,0,,0,ATHSB,202001140737332200.0009,0.0,,0.0,-17
